,미학,의식,발견,전후,소설,이데올로기,전쟁,공간,구조,주체,체험,역사,근대,비평,의미,사회,수용,현실,형상화,시간,비판,자유,사랑,극복,1950년대,여성,인물,죽음,인식,이념,방식,추구,욕망,자아,인간,의지,현실 인식,서술,국문,형식,문화,서사,서사 구조,김수영,정신,저항,가족,부정,1960년대,연극,영화,분석,관계,생명,대립,갈등,대중,변화,양식,형성,배경,개념,예술,담론,언어,해체,사상,작품,지향,서정,현대,전통,기독교,1920년대,1930년대,자연,세계,이미지,비교,창작,식민지,고향,민족,근대성,모더니즘,시학,성격,상상력,시대,작가,유형,텍스트,구성,존재,탐색,이상,현대시,1970년대,도시,재현
미학,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10208146668892337,0.0,0.0,0.0,0.0,0.0,0.01713842550792727,0.0,0.0,0.11519494863683036,0.0,0.0,0.0,0.0,0.0,0.04176560682283889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02086942493183718,0.0,0.14792085818383413,0.05653913881574289,0.0,0.0,0.0,0.01187894301009159,0.0,0.0,0.027498298194602866,0.0,0.023551582019016325,0.0,0.2112916364223621,0.0,0.0,0.0,0.0,0.030622798290739425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036470349878096164,0.0,0.0,0.0,0.0,0.0,0.018745254612663815,0.0,0.0,0.0,0.0,0.0,0.0,0.1752092196366726,0.021926250000362846,0.0,0.0,0.02378075151599821,0.007688397698629275,0.0,0.0,0.0,0.0,0.0,0.03304769075489236,0.0,0.0,0.0,0.0,0.0,0.0,0.05824060552149205,0.0,0.0,0.013272138875735754,0.0,0.0,0.0,0.0
의식,0.0,1.0000000000000002,0.017152214064610732,0.0,0.0010803084094110882,0.01767100507028619,0.0,0.0,0.0,0.026385003680526636,0.08261100738652652,0.00852506022721826,0.007256106392154421,0.12229472493049459,0.03990762022947233,0.050752656040669766,0.08009616176299839,0.0334412071684136,0.01751405464421118,0.012302003620081617,0.0,0.017986107779479094,0.05701429469033315,0.015310999392669907,0.05532587081813005,0.04914896927041189,0.0,0.012939275359740208,0.05865625924398558,0.017057836065564026,0.08646253510230861,0.026826256329006867,0.03332205530345619,0.023433583567226506,0.0,0.020461247314304654,0.03778403640939752,0.0438048078921692,0.01884990508437942,0.1570081315677673,0.08413332820838082,0.024396204405287347,0.039870888071103616,0.04226077432077428,0.0,0.024629468622064492,0.005183322632931995,0.14276931613370142,0.012706215222522492,0.021427158493749602,0.0,0.0,0.05209803174929394,0.0,0.04297023429160585,0.0,0.03832700984939148,0.14443630281157294,0.04411312082418713,0.04474008203119579,0.021722060002714223,0.04260840339603327,0.008086800463787801,0.06234224497284857,0.1795405011679752,0.0,0.020931683417423654,0.11048810495451865,0.0369520846276202,0.0,0.039141009298198096,0.023576823434773377,0.025545350635309622,0.006428487219986497,0.05628557028870293,0.012313926760802108,0.0,0.0,0.07837140341361219,0.03413964234298375,0.05868038434736158,0.0,0.0,0.0875047873764259,0.045348583874513154,0.07406395815605761,0.007600379134211496,0.039636459765035055,0.015389680269932217,0.0,0.04223562968966577,0.003446246974594333,0.0810477510664617,0.008832361042102015,0.04806511081042666,0.07701692310580173,0.0711678611077462,0.028516732111782697,0.0,0.2962784014645782
발견,0.0,0.017152214064610732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022285197201776706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05095010775313384,0.0,0.018612962705930006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019935754328335466,0.0,0.06425699023121516,0.0,0.0,0.0,0.0,0.031005925113549545,0.0,0.0,0.0,0.0,0.030206046872620674,0.0,0.0,0.024456863034016448,0.0,0.0,0.0,0.0,0.0,0.009816663557137232,0.017071183873041216,0.0,0.0,0.0,0.1712627009586856,0.03858911165942562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010637091710205817,0.0,0.034800630100911674,0.0,0.0,0.3456571273705024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028430790114959913,0.0,0.0,0.0,0.0,0.0,0.0,0.028531020689482055,0.0,0.0,0.08463470662413476,0.0,0.0,0.0327841669845472,0.07754121320464702,0.0,0.0,0.06882440110934708,0.0,0.0,0.0,0.0
전후,0.0,0.0,0.0,1.0,0.0,0.6172455179616967,0.3730817285891005,0.0,0.0,0.0554420285980237,0.0,0.0,0.08722528008060414,0.0,0.0,0.0,0.0,0.0,0.06207342393201471,0.020058849377330944,0.0,0.06371408243064566,0.0,0.0,0.3229718223168499,0.0711154270350459,0.0,0.0,0.0,0.0,0.01526680719095271,0.0,0.0,0.06991119380946818,0.0,0.0,0.0,0.0,0.0,0.0,0.008217367246872645,0.0,0.0,0.0051303354380645,0.0,0.03608843893995044,0.0,0.01887970436907033,0.06269843749918613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1845520771418722,0.043625173877242664,0.0,0.0,0.11591655447044473,0.0,0.0,0.016907359865467098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05594302618057422,0.057987304556222814,0.0,0.0,0.0,0.0,0.0,0.07328772496564886,0.0,0.0,0.030780050421782064,0.0,0.01241707546967443,0.0,0.0
소설,0.0,0.0010803084094110882,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021383549678050784,0.0,0.0,0.0,0.092867034484966,0.0,0.0,0.0,0.0,0.0,0.0,0.0020245914943300245,0.0,0.0,0.050307120306358755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10210660882816334,0.1234894020597705,0.0,0.0,0.0,0.014172535114777958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13523102408900192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013844369782345923,0.0,0.0,0.0,0.0,0.0,0.0,0.024398209398879375,0.0,0.040378929474900585,0.009869028938912743,0.0,0.03271093926177813,0.0,0.0
이데올로기,0.0,0.01767100507028619,0.0,0.6172455179616967,0.0,1.0,0.435430077719216,0.0,0.0,0.0346606607797705,0.002578094458414544,0.0,0.09365615607366559,0.0,0.0,0.0,0.015857415428749935,0.0,0.11788223823283522,0.020900298668754032,0.0,0.03491969414711851,0.01576380592370539,0.0,0.17544216450750336,0.06817131515669254,0.0,0.0,0.0,0.018398917978605135,0.0159072349568463,0.0,0.0,0.14610877974485792,0.0,0.006705510075059727,0.0,0.030731816392385272,0.001665968550575178,0.07850662914063665,0.010137578562454556,0.28232962903556114,0.0,0.007966969605937744,0.0,0.03298376837963076,0.002550494446116967,0.011803013802096413,0.10433409257110088,0.0016722717584269037,0.0,0.0,0.0058271749114344375,0.0,0.0,0.032164119718510076,0.1485045544865822,0.07229036957250666,0.0,0.0,0.08498672684056606,0.004463631024336022,0.0,0.010569964335672788,0.0,0.0,0.009243630006797073,0.0,0.0,0.044380990034372354,0.0,0.0,0.012511076284316584,0.032081212149829015,0.05550549670389377,0.0,0.0,0.0,0.0,0.0,0.02508416668389732,0.0,0.0,0.01890906841693201,0.0,0.09853677473576125,0.04833585262734834,0.0,0.0,0.028409895856008595,0.0,0.004676846374338936,0.06599446775888813,0.0,0.008617933202756382,0.03612525432497236,0.0351477487318577,0.030036417146659607,0.0,0.0
전쟁,0.0,0.0,0.0,0.3730817285891005,0.0,0.435430077719216,1.0,0.0,0.0,0.030051324427326494,0.0,0.0,0.19958794996895962,0.0,0.0,0.0,0.0,0.0,0.10805090470900366,0.0,0.0,0.03263648262828272,0.0,0.0,0.019484955823057024,0.04456862570930353,0.0,0.0,0.0,0.047856432120550095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008908143346077318,0.0,0.0,0.0027808032744996306,0.0,0.05868320915112793,0.0,0.010233393969050588,0.23739324832521547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05455533890266252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167630271091168,0.09429283231245386,0.0,0.0,0.0,0.0,0.0,0.10822949705696859,0.0,0.0,0.021316227043736327,0.0,0.0,0.0,0.0
공간,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25815464059355175,0.018923980938825375,0.0,0.0,0.16903206278191907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03630175699629316,0.0,0.0,0.0,0.04160762077387993,0.0,0.0,0.0,0.0286484006410056,0.0,0.0,0.0,0.0,0.0,0.1737531559174685,0.0,0.0,0.0,0.0,0.0561940833097521,0.0,0.0,0.0,0.0,0.029754320330434385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019456312435215,0.0,0.0,0.06595575255171122,0.023360188229588068,0.09270543768508868,0.0,0.0,0.0,0.0,0.06371954752074911,0.0,0.0,0.0,0.0,0.02098731007141021,0.0303935819553127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06168903594221563,0.0,0.0,0.0,0.0,0.0,0.0,0.04227053273502187,0.0,0.0,0.018762041130545207,0.0,0.00977757813552252,0.0,0.0
구조,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25815464059355175,1.0000000000000002,0.09921341980346644,0.0,0.0,0.11118054841338465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06327107567174248,0.0,0.0,0.0,0.038095441046881756,0.0,0.05504847221223404,0.0,0.05933429395207367,0.0,0.0,0.0,0.0,0.0,0.22712845022998726,0.0,0.0,0.0,0.0,0.07620487678801334,0.0,0.0,0.0,0.0,0.028485653751318007,0.0,0.0,0.0,0.0,0.0,0.0,0.003629295737978786,0.0,0.0,0.0,0.0,0.06203179168853798,0.0,0.0,0.08621672384436167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00455698015790371,0.0,0.0,0.10456702213007342,0.0,0.0,0.045216003368622915,0.0,0.0,0.0,0.0,0.0,0.0,0.03984253294703465,0.0,0.0,0.01611622821271178,0.0,0.04813218801923119,0.0,0.0
주체,0.0,0.026385003680526636,0.022285197201776706,0.0554420285980237,0.0,0.0346606607797705,0.030051324427326494,0.018923980938825375,0.09921341980346644,0.9999999999999999,0.0,0.0,0.059970008959860197,0.0,0.010101101757810083,0.0,0.023083260413910362,0.04246286348756794,0.006047703652096514,0.00493415802566828,0.012291601895023516,0.024306120315431837,0.0,0.04466167216027614,0.0,0.039313128580813844,0.057112571222401994,0.0101297746827222,0.0,0.180574307749182,0.020266923113020863,0.06346774130095414,0.025070001581153967,0.013318342152156337,0.003954476118679585,0.026718223570897526,0.0,0.017499558010924322,0.008851419265131525,0.0,0.02347068384668117,0.01344132514506772,0.006300837295115346,0.13699390382945106,0.0,0.02182086859974775,0.09205932024526177,0.0,0.04199265926859251,0.00927648749413259,0.035016858280918904,0.029262133267429297,0.03777340062067055,0.0,0.0,0.031397863393738824,0.0,0.10740577787551209,0.0,0.07158683030424524,0.07413325227928044,0.0,0.035181855835099037,0.0053211251895722185,0.004334246053941499,0.006049154850242296,0.04072238271016186,0.09344946355451116,0.0,0.034967893586060866,0.0,0.00968836206651407,0.0,0.009049793502376524,0.03268540263023721,0.05987281423426622,0.01637630702831141,0.0,0.0437752099646829,0.05397458998798345,0.0,0.03266027590451084,0.020567265882578126,0.019754428050619954,0.0,0.04612392812898551,0.005349423745555143,0.0,0.014367844189029425,0.0,0.0,0.0,0.03576703037123262,0.013793710921554837,0.047988129734231715,0.048795851910800665,0.03318563291175731,0.06477897104835037,0.031120912418199066,0.0
