,이상,주체,정신,담론,이데올로기,타자,이미지,존재,형식,역사,시간,도시,식민지,공간,인식,국문,의식,부정,자아,죽음,세계,기억,현실,소외,확장,지향,생명,의미,구조,윤리,1960년대,소설,구성,방식,사회,여성,모색,감각,언어,형성,근대,정체성,발견,체험,재현,민중,공동체,사상,자유,개념,상상력,미학,자연,시학,추구,비판,민족,배경,욕망,수용,시대,저항,의지,폭력,극복,현실 인식,현대,표상,대응,영화,정치,문화,작품,형상화,시각,전통,해체,1930년대,작가,조선,비교,대중,가족,고향,변화,인물,권력,서사,텍스트,1970년대,전략,관계,실천,사랑,비평,1980년대,서술,전쟁,인간,글쓰기
이상,0.9999999999999998,0.0,0.0884831102627301,0.0,0.0,0.0,0.0,0.0,0.014937861263526649,0.0,0.03175300417355395,0.0,0.10947190606960346,0.0,0.0,0.0,0.0,0.1164384316726358,0.036132444736730156,0.2047477048442163,0.02540926489447163,0.0,0.0,0.08358876053621306,0.0,0.0,0.017549579208194395,0.0,0.0,0.02160385239971124,0.0,0.020737459784404118,0.1921465465923804,0.17752130891041273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009130002475903405,0.0,0.0,0.0,0.0,0.0,0.0,0.04409408023643963,0.0,0.0,0.059066675102435566,0.0,0.0,0.03375888412451701,0.0,0.0,0.0,0.0,0.08039680390977039,0.0,0.0,0.013378861765690078,0.0,0.0,0.00992689991585036,0.0,0.0,0.018782809228866968,0.0,0.0,0.0,0.0,0.18450298544117,0.0,0.002746802373217519,0.0,0.06387013215271983,0.0,0.0,0.07718942397246213,0.0,0.018876377369880928,0.0,0.0,0.0,0.0,0.0,0.0,0.05439047208556751,0.0,0.0,0.0,0.0
주체,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04015330316758159,0.0,0.0,0.0,0.0,0.05036921984726542,0.0,0.0,0.01437411693043584,0.05066780050226185,0.029245265121103477,0.11631811595713404,0.0,0.0,0.05398446087070878,0.0,0.05087942393676244,0.0,0.0,0.0,0.03402795856107157,0.0,0.0,0.10350881932566998,0.0,0.10955924011175523,0.0,0.0,0.0,0.0,0.0,0.0,0.04907379938725717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13190915175716292,0.0,0.0,0.13521692480468908,0.007563118717652739,0.0,0.0,0.0,0.0,0.0,0.0,0.06323613924691447,0.0,0.0,0.0,0.0,0.0,0.0030084647278716113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006443294746353774,0.0,0.0,0.0,0.0,0.010953184338412357,0.0,0.0,0.0,0.05792153433719799,0.03154017622540467,0.11456331372948106,0.0,0.0,0.015201914316934802,0.0,0.0,0.0,0.0
정신,0.0884831102627301,0.0,0.9999999999999998,0.01713227426281675,0.0,0.0,0.0,0.0,0.009220365592210435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01503405172699368,0.05386587170845045,0.0,0.0,0.0,0.0385230921854105,0.14613966622827307,0.0,0.0,0.04036414846574679,0.0,0.0,0.0,0.0,0.0058865143841808475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004352091933493938,0.0,0.0,0.0,0.0,0.0,0.09324651042391419,0.0,0.0,0.0,0.006366579675029427,0.0,0.0,0.0,0.0,0.0,0.09696508859766387,0.0,0.0,0.0,0.08487068204340237,0.0119166988547793,0.0,0.0,0.0,0.005441601207461828,0.0,0.0,0.0,0.0,0.0,0.0,0.017472814212870016,0.0,0.0,0.0,0.0,0.0,0.05826551981804173,0.0,0.006831896519207851,0.0,0.0,0.0,0.0,0.03744623121893093,0.0,0.0,0.0,0.0,0.005371428388949948,0.13198570510717897,0.01815067959158817,0.08745657691402814,0.0,0.0,0.0,0.0,0.0
담론,0.0,0.0,0.01713227426281675,1.0000000000000002,0.0,0.0,0.0,0.0,0.08385848526571245,0.0,0.0,0.0,0.0,0.0,0.0,0.05338072447134156,0.11052027100037008,0.015253686253051624,0.0,0.027920814039302834,0.06171787995544024,0.0,0.0,0.11893943355723152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008981742904836944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869546425672361,0.0,0.0,0.0,0.019527763489282392,0.06424928664624976,0.0,0.0,0.0,0.04375147849866453,0.0,0.0,0.0,0.0,0.0,0.0,0.11040789945735169,0.0,0.0,0.05332210368057943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11910135915677797,0.0,0.0,0.0,0.0,0.10474726597543069,0.021950693619941057,0.0,0.0,0.0,0.0,0.0,0.0,0.11423835148306288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07422652557365472
이데올로기,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17973208661266563,0.0119386564028851,0.21536702340970676,0.0,0.0,0.0,0.0,0.0,0.12157834605046065,0.06688128492356432,0.19801826210326812,0.0,0.06247968078802329,0.08283413542638449,0.0,0.0,0.019419816440584523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09034858681613678,0.03909623917080069,0.014059868639700638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27801102943689476,0.0,0.022106282239891365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23360488950077368,0.0,0.0,0.0,0.1893354219603734,0.0,0.0,0.0,0.07053300982104292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20797614915554097,0.0,0.0,0.02759727784144034,0.0,0.0,0.0,0.0
타자,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.10887879224198488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04276825081809621,0.0,0.0,0.0,0.07365719349936015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05257159915069097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033367581717966416,0.0,0.0,0.0,0.0,0.04355118316630971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029213935711488326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07145329835606065,0.0,0.0,0.0,0.0,0.0,0.08032801229424763,0.0,0.0,0.0,0.0,0.14252923961703454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048042364169838925,0.0,0.0,0.0,0.0,0.09026046132811005,0.0,0.0,0.0,0.0
이미지,0.0,0.0,0.0,0.0,0.0,0.10887879224198488,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03659799445701559,0.0,0.0,0.024889382986425408,0.07832024429258812,0.0,0.26193812627211,0.0,0.018505926732271083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048760252085788866,0.0,0.013339574495815104,0.0,0.0,0.0,0.005636509360868478,0.0,0.19131666434942218,0.0,0.0,0.05175072173667032,0.0,0.0,0.0,0.0,0.0,0.0,0.022156084269398107,0.0,0.0,0.0,0.0,0.0,0.015300399696755234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04846503802305942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08196440985285182,0.0,0.0715904228973625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
존재,0.0,0.0,0.0,0.0,0.17973208661266563,0.0,0.0,1.0,0.20001057271680406,0.0,0.0,0.0,0.0,0.0,0.0,0.07428398271328085,0.0,0.10180251437564626,0.07377658020114335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08599595118429634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08743133964483885,0.0,0.0,0.0,0.0,0.4019825764840719,0.0,0.0,0.0,0.0,0.0,0.0664878874091933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
형식,0.014937861263526649,0.0,0.009220365592210435,0.08385848526571245,0.0119386564028851,0.0,0.0,0.20001057271680406,1.0,0.006296615748497405,0.0,0.0,0.008651088500412659,0.0,0.0,0.03156793033431723,0.0,0.061312298656664634,0.03654707511992963,0.07646686981210277,0.012866943676787358,0.013492486086369765,0.0,0.07272668728813055,0.0,0.03242563813270774,0.019982502758062657,0.007433856659733094,0.007170592174581224,0.0059481541912936526,0.015705827131423107,0.0,0.02418166600016616,0.0070880780481366885,0.03298078473689328,0.049062230000417456,0.021807079024004025,0.0,0.06952505342877224,0.0,0.06076805726783134,0.05709408387041251,0.025984202716871393,0.020468970577883987,0.0,0.09117452972007295,0.04314552038358354,0.08531998792799941,0.0,0.025910276756196487,0.08168834207733602,0.05902551544023509,0.0,0.0,0.06810507316650016,0.0,0.025022184873280024,0.02362943135082561,0.0,0.014317730481164623,0.026301930049847055,0.12558447301360742,0.06564841104564659,0.018002082769903074,0.0,0.0,0.0,0.18574124662637978,0.03483537596201212,0.022504223512200747,0.02651416205748039,0.050147907680779064,0.025493339819540457,0.0,0.0,0.07208124863184996,0.005543694794831725,0.0,0.0,0.00987623609070307,0.02829621993184517,0.017740088129456263,0.006201384533231167,0.0015098480283674191,0.0,0.0,0.046259014064756875,0.0,0.09325742414462945,0.0101435345890228,0.059048338136887375,0.03725771139003589,0.0,0.0052999797310787555,0.005730877661820564,0.11730158842074823,0.0,0.0,0.012068353014959276,0.0
역사,0.0,0.04015330316758159,0.0,0.0,0.21536702340970676,0.0,0.0,0.0,0.006296615748497405,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007297668159249229,0.02123180402243613,0.017457764794397257,0.0590541328745472,0.0,0.0,0.031274678941532734,0.0,0.0,0.0,0.0,0.0,0.03658051584735143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11410812794180891,0.0,0.0,0.0,0.02491452553050243,0.0,0.0,0.0,0.050143627034697894,0.0057193566996222335,0.07425794052910085,0.0,0.06278956607172674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09327332000863389,0.0,0.07021181856961335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007585787048342185,0.0,0.0,0.05165351301827448,0.0,0.0,0.0,0.0,0.0
